addr	size	has_halt_baddata	has_bad_bm	trailing_byte
01002b82	2274	false	true	23
010049c6	16	false	false	00
0100629c	122	false	true	00
01007692	868	true	true	F5
0100a10c	346	false	true	00
0100e20c	1058	false	true	00
0100e67a	34	false	true	00
0100f9a0	62	false	false	00
0100fa60	26	false	false	88
0100fb20	82	false	false	00
01010f18	34	false	true	00
010122bc	234	false	false	00
01012400	34	false	true	00
010124c0	34	false	true	00
01012ecc	30	false	false	00
0101355c	108	false	false	00
01014c5c	234	false	false	00
01014d88	10	false	false	00
0101507c	2	false	false	00
010150b4	436	false	true	BF
0101586c	30	false	false	00
01015b04	186	false	false	00
01015efc	108	false	false	3C
01017728	10	false	false	00
0101ee92	500	false	true	00
0101f112	44	false	true	00
01020b1a	14	false	false	00
0102718a	14	true	true	00
010279de	14	true	true	00
01027b7e	8	true	true	00
0102e4e4	16	true	true	7C
01031f4a	116	false	false	81
010352fc	464	false	true	34
0103b56c	16	false	false	73
0103dadc	200	false	true	01
01042a84	78	true	true	51
0104821c	66	false	true	E2
0104b1ea	86	false	false	7A
0105113e	6	false	false	01
01055d62	14	true	true	35
01055d86	28	false	false	01
0105d8c4	14	false	false	43
0105e6ee	770	true	true	01
010608d8	210	false	false	01
01061dea	166	false	false	03
01062dd4	66	false	false	01
01066352	200	false	false	06
010694da	378	false	false	81
0106a052	62	false	false	E1
0106cb4c	374	false	false	FD
0106d52a	16	false	false	A1
0106da4a	156	true	true	54
0106ef1a	40	false	false	E0
0106ef42	316	false	false	10
0106fce2	372	false	false	53
010703ea	6	false	false	81
01070412	44	false	false	06
010718ba	40	false	false	38
010718e2	242	false	false	E1
01071f48	2	false	false	7C
01072d8a	92	false	false	E1
01073418	230	false	true	3B
0107425a	30	true	true	51
01074282	32	true	true	70
010748e8	50	true	true	70
0107572a	8	true	true	2A
01075752	102	false	false	01
01075db8	150	false	false	18
010764a8	34	false	false	81
01077206	48	false	true	54
01077288	34	false	false	E1
01077a5a	98	true	true	00
01078758	28	false	false	44
01079588	164	false	false	01
01079c28	42	false	false	51
0107aff0	368	false	false	00
0107b52a	6	false	false	34
0107b532	206	false	false	7D
0107b6dc	700	false	true	0B
0107c576	42	false	true	92
0107cb18	108	false	true	8C
0107cbbe	118	false	true	8B
0107f274	84	false	false	00
0107f5c4	34	false	false	34
0107f602	208	false	false	4A
01080b1e	66	false	true	62
010817e0	78	false	false	E1
01081c46	268	false	true	52
01082224	6	false	false	04
01082284	24	false	false	04
010823ba	90	false	false	28
01082f26	44	false	false	19
0108348a	218	false	false	00
0108394a	74	false	false	13
01083f18	26	false	false	31
010840c2	96	false	false	5B
0108501c	8	true	true	21
010869da	14	true	true	18
010886a2	146	false	false	00
01088d8a	192	true	true	E6
0108912c	152	false	false	90
010891ea	66	false	true	00
010892da	180	false	false	E1
01089d70	22	true	true	2A
0108ad42	6	false	false	50
0108ae74	6	true	true	2A
0108b384	196	true	true	E0
0108e61a	44	true	true	71
0108e976	68	true	true	71
0108fc4a	92	false	false	01
01090568	34	true	false	E1
01095b16	84	false	false	71
0109625e	22	true	true	31
01096f40	10	false	false	60
01096f6e	48	false	false	55
01097138	122	false	false	80
01098656	214	false	false	71
0109a06c	290	false	false	48
0109a300	20	true	true	7C
0109a354	444	true	true	50
0109a6a6	370	true	true	1E
0109a9a0	188	false	true	77
0109aa5c	10	false	false	48
0109aba2	88	true	true	1D
0109acba	446	false	true	80
0109b222	18	false	false	34
0109b4b0	84	false	true	01
0109c5ce	24	false	false	02
0109c608	124	false	false	02
0109c906	108	false	false	01
0109d108	894	true	true	7D
0109ddca	6	false	false	79
0109e126	118	false	false	00
0109e2a8	82	false	false	1A
0109e300	136	false	false	19
010a048a	396	true	true	6C
010a0dfa	92	false	false	01
010a0fe8	96	false	true	2A
010a2490	346	true	true	71
010a26da	136	false	false	72
010a33ae	460	true	true	31
010a3aa2	100	true	true	00
010a56dc	158	false	false	C0
010a5958	22	false	false	01
010a846c	44	true	true	2A
010aa9dc	14	false	false	E1
010aac50	154	false	false	E1
010aaf00	4	false	false	60
010acb9e	28	false	false	00
010acbcc	76	false	false	82
010ad2ea	32	false	false	E1
010ae43c	2	false	false	0E
010aeb62	250	false	false	08
010aed5a	34	false	false	C8
010af116	52	false	false	54
010af9d0	274	true	true	B7
010afcd8	304	true	true	E1
010b1578	134	false	false	20
010b3d02	138	false	false	03
010b4cdc	32	false	false	01
010b82e0	36	false	false	55
010b831a	32	false	false	55
010b838e	252	false	true	7D
010b8546	354	false	false	55
010b8e8a	4	false	false	34
010b9506	22	false	false	00
010b9526	242	false	true	00
010b97b2	10	true	true	AC
010b9bb0	2	false	false	48
010ba2f0	474	false	false	E1
010ba506	4	false	false	00
010ba92a	356	true	false	E6
010baa90	1526	true	true	70
010bb0f2	6	true	true	48
010bb166	20	true	true	E1
010bb260	8	true	true	59
010bba42	16	true	true	34
010bce92	18	false	false	0F
010bceca	52	false	false	0F
010bd5ac	20	false	false	00
010bdfa0	50	true	true	22
010bdfde	82	false	true	02
010be6b4	50	false	false	7D
010beac8	16	true	true	2A
010beb84	744	false	false	34
010bf9e8	406	false	false	1C
010bfac0	32	true	true	2A
010bfc42	228	true	true	E6
010c0588	26	false	false	14
010c05b4	102	false	false	76
010c093c	14	false	false	60
010c10d0	112	false	false	2C
010c1968	62	false	false	B5
010c1f80	508	false	true	01
010c2194	8	false	false	11
010c24fc	482	true	true	1D
010c3fce	260	true	true	AD
010c42ca	116	true	true	2A
010c4e02	914	true	true	E8
010c5294	120	false	false	E1
010c54b8	128	false	true	C8
010c5f6c	58	false	false	98
010c7106	150	false	true	01
010c7546	2	false	false	48
010c7586	12	false	false	48
010c79e0	136	true	true	2A
010c7a7a	284	true	true	54
010c7bde	42	true	true	70
010c7dd4	26	false	false	00
010c8230	74	true	true	DA
010c82f0	12	true	true	DA
010cb3c2	24	true	true	79
010cc630	88	true	true	D2
010cc77c	352	true	true	C5
010cd328	180	true	true	E3
010ce8da	34	true	true	51
010cf148	18	false	true	71
010cf36c	22	true	true	10
010cf43c	14	true	true	51
010cf62a	76	true	true	2A
010cf970	36	false	false	00
010d0ab4	88	true	true	5C
010d2220	6	true	true	71
010d2b06	50	false	false	7D
010d2cde	40	true	true	5F
010d3560	28	true	true	D4
010d372e	28	true	true	11
010d477a	24	true	true	70
010d47a8	4	false	false	64
010d51c8	56	true	true	18
010d55a0	16	true	true	D4
010d5770	12	true	true	18
010d699c	6	true	true	5C
010d7282	20	true	true	7D
010d7792	4	false	false	01
010d7ad6	16	true	true	70
010d7dc0	14	true	true	7C
010d8192	26	true	true	71
010d8478	26	false	false	06
010d8b7e	64	true	true	55
010da010	86	true	true	7C
010dabae	96	true	true	2A
010db65c	34	true	true	00
010dc23a	34	true	true	00
010dc798	34	true	true	00
010dc7f4	34	true	true	00
010dcb04	34	true	true	00
010dd668	34	false	true	00
010dd9ec	34	false	true	00
010ddb9e	34	false	true	00
010ddc54	34	false	true	00
010dde9e	34	false	true	00
010dec7c	68	false	true	00
010df266	34	false	true	00
010df4ec	58	false	true	00
010df7fa	34	false	true	00
010df9dc	34	false	false	83
010df9fe	144	false	true	00
010dffa0	34	false	true	00
010e0562	34	false	true	00
010e09ae	34	false	true	00
010e1966	400	false	true	01
010e23f0	118	false	false	04
010e2b24	26	false	false	04
010e30d2	66	false	false	6E
010e363a	16	false	false	01
010e3b94	12	false	false	63
010e40e2	216	false	false	61
010e4868	14	false	false	5A
010e4876	110	false	false	63
010e4a52	146	false	false	57
010e4c8a	110	false	false	5B
010e57ec	74	false	false	47
010e63ae	342	false	true	00
010e6c60	80	false	false	00
010e8c98	44	false	false	12
010ea54c	8	false	false	01
010eb3e0	46	false	true	00
010ef0d6	3950	true	true	FF
